season,posteam,field_zone,pass_rate,plays
2023,ARI,1. Own End (75-100),0.5228426395939086,197
2023,ARI,2. Own Mid (50-74),0.55,260
2023,ARI,3. Opp Mid (25-49),0.5306122448979592,196
2023,ARI,4. Red Zone (10-24),0.5061728395061729,81
2023,ARI,5. Goal-to-Go (<10),0.35555555555555557,45
2023,ATL,1. Own End (75-100),0.5311004784688995,209
2023,ATL,2. Own Mid (50-74),0.580952380952381,315
2023,ATL,3. Opp Mid (25-49),0.4567901234567901,243
2023,ATL,4. Red Zone (10-24),0.4166666666666667,108
2023,ATL,5. Goal-to-Go (<10),0.4489795918367347,49
2023,BAL,1. Own End (75-100),0.4772727272727273,176
2023,BAL,2. Own Mid (50-74),0.6042296072507553,331
2023,BAL,3. Opp Mid (25-49),0.6103896103896104,231
2023,BAL,4. Red Zone (10-24),0.4953271028037383,107
2023,BAL,5. Goal-to-Go (<10),0.3137254901960784,51
2023,BUF,1. Own End (75-100),0.5913978494623656,186
2023,BUF,2. Own Mid (50-74),0.6144578313253012,332
2023,BUF,3. Opp Mid (25-49),0.5714285714285714,252
2023,BUF,4. Red Zone (10-24),0.512396694214876,121
2023,BUF,5. Goal-to-Go (<10),0.38961038961038963,77
2023,CAR,1. Own End (75-100),0.5747663551401869,214
2023,CAR,2. Own Mid (50-74),0.5602409638554217,332
2023,CAR,3. Opp Mid (25-49),0.5752212389380531,226
2023,CAR,4. Red Zone (10-24),0.4166666666666667,72
2023,CAR,5. Goal-to-Go (<10),0.4146341463414634,41
2023,CHI,1. Own End (75-100),0.5032679738562091,153
2023,CHI,2. Own Mid (50-74),0.5127272727272727,275
2023,CHI,3. Opp Mid (25-49),0.5426008968609866,223
2023,CHI,4. Red Zone (10-24),0.5,72
2023,CHI,5. Goal-to-Go (<10),0.4883720930232558,43
2023,CIN,1. Own End (75-100),0.6153846153846154,182
2023,CIN,2. Own Mid (50-74),0.6628352490421456,261
2023,CIN,3. Opp Mid (25-49),0.7401960784313726,204
2023,CIN,4. Red Zone (10-24),0.625,96
2023,CIN,5. Goal-to-Go (<10),0.4603174603174603,63
2023,CLE,1. Own End (75-100),0.6167400881057269,227
2023,CLE,2. Own Mid (50-74),0.6306306306306306,333
2023,CLE,3. Opp Mid (25-49),0.5327102803738317,214
2023,CLE,4. Red Zone (10-24),0.5161290322580645,93
2023,CLE,5. Goal-to-Go (<10),0.4791666666666667,48
2023,DAL,1. Own End (75-100),0.6165413533834586,133
2023,DAL,2. Own Mid (50-74),0.6608695652173913,230
2023,DAL,3. Opp Mid (25-49),0.6074766355140186,214
2023,DAL,4. Red Zone (10-24),0.5217391304347826,115
2023,DAL,5. Goal-to-Go (<10),0.6153846153846154,65
2023,DEN,1. Own End (75-100),0.5789473684210527,171
2023,DEN,2. Own Mid (50-74),0.5746268656716418,268
2023,DEN,3. Opp Mid (25-49),0.5217391304347826,184
2023,DEN,4. Red Zone (10-24),0.5913978494623656,93
2023,DEN,5. Goal-to-Go (<10),0.5333333333333333,45
2023,DET,1. Own End (75-100),0.6111111111111112,198
2023,DET,2. Own Mid (50-74),0.6056782334384858,317
2023,DET,3. Opp Mid (25-49),0.5833333333333334,240
2023,DET,4. Red Zone (10-24),0.55,100
2023,DET,5. Goal-to-Go (<10),0.3707865168539326,89
2023,GB,1. Own End (75-100),0.625,160
2023,GB,2. Own Mid (50-74),0.6035087719298246,285
2023,GB,3. Opp Mid (25-49),0.5546218487394958,238
2023,GB,4. Red Zone (10-24),0.5487804878048781,164
2023,GB,5. Goal-to-Go (<10),0.45454545454545453,55
2023,HOU,1. Own End (75-100),0.5678391959798995,199
2023,HOU,2. Own Mid (50-74),0.6242603550295858,338
2023,HOU,3. Opp Mid (25-49),0.6020408163265306,196
2023,HOU,4. Red Zone (10-24),0.5102040816326531,98
2023,HOU,5. Goal-to-Go (<10),0.42857142857142855,63
2023,IND,1. Own End (75-100),0.5700483091787439,207
2023,IND,2. Own Mid (50-74),0.6411149825783972,287
2023,IND,3. Opp Mid (25-49),0.5196078431372549,204
2023,IND,4. Red Zone (10-24),0.44954128440366975,109
2023,IND,5. Goal-to-Go (<10),0.35185185185185186,54
2023,JAX,1. Own End (75-100),0.6490066225165563,151
2023,JAX,2. Own Mid (50-74),0.6146496815286624,314
2023,JAX,3. Opp Mid (25-49),0.5852534562211982,217
2023,JAX,4. Red Zone (10-24),0.5783132530120482,83
2023,JAX,5. Goal-to-Go (<10),0.45652173913043476,46
2023,KC,1. Own End (75-100),0.625,224
2023,KC,2. Own Mid (50-74),0.6419437340153452,391
2023,KC,3. Opp Mid (25-49),0.6085271317829457,258
2023,KC,4. Red Zone (10-24),0.6133333333333333,150
2023,KC,5. Goal-to-Go (<10),0.6363636363636364,66
2023,LA,1. Own End (75-100),0.5606060606060606,198
2023,LA,2. Own Mid (50-74),0.6736111111111112,288
2023,LA,3. Opp Mid (25-49),0.5610859728506787,221
2023,LA,4. Red Zone (10-24),0.5181818181818182,110
2023,LA,5. Goal-to-Go (<10),0.5342465753424658,73
2023,LAC,1. Own End (75-100),0.6284403669724771,218
2023,LAC,2. Own Mid (50-74),0.6352201257861635,318
2023,LAC,3. Opp Mid (25-49),0.6285714285714286,210
2023,LAC,4. Red Zone (10-24),0.5609756097560976,82
2023,LAC,5. Goal-to-Go (<10),0.5189873417721519,79
2023,LV,1. Own End (75-100),0.593103448275862,145
2023,LV,2. Own Mid (50-74),0.5618374558303887,283
2023,LV,3. Opp Mid (25-49),0.632768361581921,177
2023,LV,4. Red Zone (10-24),0.5679012345679012,81
2023,LV,5. Goal-to-Go (<10),0.4318181818181818,44
2023,MIA,1. Own End (75-100),0.5733333333333334,150
2023,MIA,2. Own Mid (50-74),0.6573705179282868,251
2023,MIA,3. Opp Mid (25-49),0.6699507389162561,203
2023,MIA,4. Red Zone (10-24),0.56,75
2023,MIA,5. Goal-to-Go (<10),0.5692307692307692,65
2023,MIN,1. Own End (75-100),0.531578947368421,190
2023,MIN,2. Own Mid (50-74),0.6918032786885245,305
2023,MIN,3. Opp Mid (25-49),0.6652542372881356,236
2023,MIN,4. Red Zone (10-24),0.651685393258427,89
2023,MIN,5. Goal-to-Go (<10),0.5689655172413793,58
2023,NE,1. Own End (75-100),0.5622119815668203,217
2023,NE,2. Own Mid (50-74),0.6346749226006192,323
2023,NE,3. Opp Mid (25-49),0.5911330049261084,203
2023,NE,4. Red Zone (10-24),0.5476190476190477,84
2023,NE,5. Goal-to-Go (<10),0.4090909090909091,22
2023,NO,1. Own End (75-100),0.5909090909090909,154
2023,NO,2. Own Mid (50-74),0.6201550387596899,258
2023,NO,3. Opp Mid (25-49),0.5931558935361216,263
2023,NO,4. Red Zone (10-24),0.5894736842105263,95
2023,NO,5. Goal-to-Go (<10),0.39655172413793105,58
2023,NYG,1. Own End (75-100),0.5808080808080808,198
2023,NYG,2. Own Mid (50-74),0.5378787878787878,264
2023,NYG,3. Opp Mid (25-49),0.5769230769230769,182
2023,NYG,4. Red Zone (10-24),0.36619718309859156,71
2023,NYG,5. Goal-to-Go (<10),0.4090909090909091,22
2023,NYJ,1. Own End (75-100),0.6084656084656085,189
2023,NYJ,2. Own Mid (50-74),0.6612377850162866,307
2023,NYJ,3. Opp Mid (25-49),0.5128205128205128,156
2023,NYJ,4. Red Zone (10-24),0.5194805194805194,77
2023,NYJ,5. Goal-to-Go (<10),0.6551724137931034,29
2023,PHI,1. Own End (75-100),0.6292682926829268,205
2023,PHI,2. Own Mid (50-74),0.5792682926829268,328
2023,PHI,3. Opp Mid (25-49),0.5796460176991151,226
2023,PHI,4. Red Zone (10-24),0.5,104
2023,PHI,5. Goal-to-Go (<10),0.2413793103448276,58
2023,PIT,1. Own End (75-100),0.541871921182266,203
2023,PIT,2. Own Mid (50-74),0.5555555555555556,333
2023,PIT,3. Opp Mid (25-49),0.5163043478260869,184
2023,PIT,4. Red Zone (10-24),0.38961038961038963,77
2023,PIT,5. Goal-to-Go (<10),0.34146341463414637,41
2023,SEA,1. Own End (75-100),0.6428571428571429,168
2023,SEA,2. Own Mid (50-74),0.6573208722741433,321
2023,SEA,3. Opp Mid (25-49),0.5990990990990991,222
2023,SEA,4. Red Zone (10-24),0.5925925925925926,108
2023,SEA,5. Goal-to-Go (<10),0.38181818181818183,55
2023,SF,1. Own End (75-100),0.6089385474860335,179
2023,SF,2. Own Mid (50-74),0.6309963099630996,271
2023,SF,3. Opp Mid (25-49),0.556420233463035,257
2023,SF,4. Red Zone (10-24),0.509090909090909,110
2023,SF,5. Goal-to-Go (<10),0.296875,64
2023,TB,1. Own End (75-100),0.5425531914893617,188
2023,TB,2. Own Mid (50-74),0.59375,352
2023,TB,3. Opp Mid (25-49),0.5982905982905983,234
2023,TB,4. Red Zone (10-24),0.6153846153846154,91
2023,TB,5. Goal-to-Go (<10),0.6,45
2023,TEN,1. Own End (75-100),0.5300546448087432,183
2023,TEN,2. Own Mid (50-74),0.5670731707317073,328
2023,TEN,3. Opp Mid (25-49),0.5454545454545454,176
2023,TEN,4. Red Zone (10-24),0.6,85
2023,TEN,5. Goal-to-Go (<10),0.2857142857142857,35
2023,WAS,1. Own End (75-100),0.6055555555555555,180
2023,WAS,2. Own Mid (50-74),0.6857142857142857,315
2023,WAS,3. Opp Mid (25-49),0.6983240223463687,179
2023,WAS,4. Red Zone (10-24),0.5806451612903226,93
2023,WAS,5. Goal-to-Go (<10),0.5434782608695652,46
2024,ARI,1. Own End (75-100),0.5490196078431373,102
2024,ARI,2. Own Mid (50-74),0.640625,320
2024,ARI,3. Opp Mid (25-49),0.5348837209302325,215
2024,ARI,4. Red Zone (10-24),0.5607476635514018,107
2024,ARI,5. Goal-to-Go (<10),0.5581395348837209,43
2024,ATL,1. Own End (75-100),0.5371900826446281,121
2024,ATL,2. Own Mid (50-74),0.5893854748603352,358
2024,ATL,3. Opp Mid (25-49),0.597864768683274,281
2024,ATL,4. Red Zone (10-24),0.5625,112
2024,ATL,5. Goal-to-Go (<10),0.29310344827586204,58
2024,BAL,1. Own End (75-100),0.43537414965986393,147
2024,BAL,2. Own Mid (50-74),0.5015197568389058,329
2024,BAL,3. Opp Mid (25-49),0.5851528384279476,229
2024,BAL,4. Red Zone (10-24),0.5533980582524272,103
2024,BAL,5. Goal-to-Go (<10),0.4727272727272727,55
2024,BUF,1. Own End (75-100),0.5604395604395604,91
2024,BUF,2. Own Mid (50-74),0.5922865013774105,363
2024,BUF,3. Opp Mid (25-49),0.5434782608695652,276
2024,BUF,4. Red Zone (10-24),0.44642857142857145,112
2024,BUF,5. Goal-to-Go (<10),0.36904761904761907,84
2024,CAR,1. Own End (75-100),0.6224489795918368,98
2024,CAR,2. Own Mid (50-74),0.5460750853242321,293
2024,CAR,3. Opp Mid (25-49),0.6046511627906976,172
2024,CAR,4. Red Zone (10-24),0.5106382978723404,94
2024,CAR,5. Goal-to-Go (<10),0.4423076923076923,52
2024,CHI,1. Own End (75-100),0.5645161290322581,124
2024,CHI,2. Own Mid (50-74),0.5797101449275363,345
2024,CHI,3. Opp Mid (25-49),0.6091370558375635,197
2024,CHI,4. Red Zone (10-24),0.5576923076923077,52
2024,CHI,5. Goal-to-Go (<10),0.35135135135135137,37
2024,CIN,1. Own End (75-100),0.6301369863013698,73
2024,CIN,2. Own Mid (50-74),0.6780626780626781,351
2024,CIN,3. Opp Mid (25-49),0.7037037037037037,270
2024,CIN,4. Red Zone (10-24),0.6636363636363637,110
2024,CIN,5. Goal-to-Go (<10),0.6823529411764706,85
2024,CLE,1. Own End (75-100),0.6736111111111112,144
2024,CLE,2. Own Mid (50-74),0.6291793313069909,329
2024,CLE,3. Opp Mid (25-49),0.5951219512195122,205
2024,CLE,4. Red Zone (10-24),0.5428571428571428,70
2024,CLE,5. Goal-to-Go (<10),0.47058823529411764,51
2024,DAL,1. Own End (75-100),0.5737704918032787,122
2024,DAL,2. Own Mid (50-74),0.6283185840707964,339
2024,DAL,3. Opp Mid (25-49),0.5918367346938775,196
2024,DAL,4. Red Zone (10-24),0.5612244897959183,98
2024,DAL,5. Goal-to-Go (<10),0.47368421052631576,38
2024,DEN,1. Own End (75-100),0.5686274509803921,102
2024,DEN,2. Own Mid (50-74),0.5805555555555556,360
2024,DEN,3. Opp Mid (25-49),0.6276595744680851,188
2024,DEN,4. Red Zone (10-24),0.5316455696202531,79
2024,DEN,5. Goal-to-Go (<10),0.475,40
2024,DET,1. Own End (75-100),0.5795454545454546,88
2024,DET,2. Own Mid (50-74),0.5625,320
2024,DET,3. Opp Mid (25-49),0.5806451612903226,217
2024,DET,4. Red Zone (10-24),0.5217391304347826,115
2024,DET,5. Goal-to-Go (<10),0.37037037037037035,81
2024,GB,1. Own End (75-100),0.5263157894736842,95
2024,GB,2. Own Mid (50-74),0.4870848708487085,271
2024,GB,3. Opp Mid (25-49),0.46842105263157896,190
2024,GB,4. Red Zone (10-24),0.49019607843137253,102
2024,GB,5. Goal-to-Go (<10),0.39655172413793105,58
2024,HOU,1. Own End (75-100),0.609271523178808,151
2024,HOU,2. Own Mid (50-74),0.6246648793565683,373
2024,HOU,3. Opp Mid (25-49),0.6078431372549019,255
2024,HOU,4. Red Zone (10-24),0.488,125
2024,HOU,5. Goal-to-Go (<10),0.41509433962264153,53
2024,IND,1. Own End (75-100),0.5333333333333333,135
2024,IND,2. Own Mid (50-74),0.6052631578947368,342
2024,IND,3. Opp Mid (25-49),0.47085201793721976,223
2024,IND,4. Red Zone (10-24),0.4954954954954955,111
2024,IND,5. Goal-to-Go (<10),0.265625,64
2024,JAX,1. Own End (75-100),0.6312056737588653,141
2024,JAX,2. Own Mid (50-74),0.6090651558073654,353
2024,JAX,3. Opp Mid (25-49),0.5,160
2024,JAX,4. Red Zone (10-24),0.5571428571428572,70
2024,JAX,5. Goal-to-Go (<10),0.43137254901960786,51
2024,KC,1. Own End (75-100),0.5526315789473685,152
2024,KC,2. Own Mid (50-74),0.6457765667574932,367
2024,KC,3. Opp Mid (25-49),0.6159420289855072,276
2024,KC,4. Red Zone (10-24),0.5734265734265734,143
